Year,&,,$X$,,&,CO (Index),&,,$\tilde{X}$,,&,NOx (Index),&,,$Y$,,&,D.R.,&,$X$,&,$Y$,\\\hline\hline,,,,,,,,,,
1990,&,$,x_1,$,&,100,&,$,\tilde{x}_1,$,&,100,&,$,y_1,$,&,31.37,&,51.76,&,23.1,\\\hline,,,,,,,,,,
1991,&,$,x_2,$,&,96.82,&,$,\tilde{x}_2,$,&,99.08,&,$,y_2,$,&,31.05,&,60.8,&,28.11,\\\hline,,,,,,,,,,
1992,&,$,x_3,$,&,93.64,&,$,\tilde{x}_3,$,&,99.45,&,$,y_3,$,&,30.49,&,56.15,&,25.27,\\\hline,,,,,,,,,,
1993,&,$,x_4,$,&,90.04,&,$,\tilde{x}_4,$,&,99.83,&,$,y_4,$,&,30.99,&,60.22,&,20.33,\\\hline,,,,,,,,,,
1994,&,$,x_5,$,&,86.61,&,$,\tilde{x}_5,$,&,99.22,&,$,y_5,$,&,30.73,&,77.61,&,23.08,\\\hline,,,,,,,,,,
1995,&,$,x_6,$,&,83.51,&,$,\tilde{x}_6,$,&,98.14,&,$,y_6,$,&,30.63,&,48.18,&,27.68,\\\hline,,,,,,,,,,
1996,&,$,x_7,$,&,79.57,&,$,\tilde{x}_7,$,&,96.89,&,$,y_7,$,&,30.28,&,51.81,&,24.82,\\\hline,,,,,,,,,,
1997,&,$,x_8,$,&,77.3,&,$,\tilde{x}_8,$,&,97.46,&,$,y_8,$,&,29.95,&,86.82,&,29.17,\\\hline,,,,,,,,,,
1998,&,$,x_9,$,&,75.63,&,$,\tilde{x}_9,$,&,96.07,&,$,y_9,$,&,29.74,&,43.4,&,30.81,\\\hline,,,,,,,,,,
1999,&,$,x_{10},$,&,72.09,&,$,\tilde{x}_{10},$,&,89.84,&,$,y_{10},$,&,29.88,&,63.27,&,29.09,\\\hline,,,,,,,,,,
2000,&,$,x_{11},$,&,70.95,&,$,\tilde{x}_{11},$,&,88.75,&,$,y_{11},$,&,29.47,&,33.16,&,29.27,\\\hline,,,,,,,,,,
2001,&,$,x_{12},$,&,68.21,&,$,\tilde{x}_{12},$,&,84.95,&,$,y_{12},$,&,29.31,&,58.45,&,25.17,\\\hline,,,,,,,,,,
2002,&,$,x_{13},$,&,61.5,&,$,\tilde{x}_{13},$,&,94.75,&,$,y_{13},$,&,29.05,&,45.78,&,22.98,\\\hline,,,,,,,,,,
2003,&,$,x_{14},$,&,59.79,&,$,\tilde{x}_{14},$,&,89.56,&,$,y_{14},$,&,28.53,&,37.37,&,22.62,\\\hline,,,,,,,,,,
2004,&,$,x_{15},$,&,58.08,&,$,\tilde{x}_{15},$,&,84.31,&,$,y_{15},$,&,27.37,&,65,&,25.89,\\\hline,,,,,,,,,,
2005,&,$,x_{16},$,&,56.37,&,$,\tilde{x}_{16},$,&,80.51,&,$,y_{16},$,&,27.05,&,84.96,&,25.8,\\\hline,,,,,,,,,,
2006,&,$,x_{17},$,&,54.48,&,$,\tilde{x}_{17},$,&,76.03,&,$,y_{17},$,&,26.36,&,50.14,&,20.8,\\\hline,,,,,,,,,,
2007,&,$,x_{18},$,&,52.58,&,$,\tilde{x}_{18},$,&,71.55,&,$,y_{18},$,&,25.54,&,91.37,&,27.59,\\\hline,,,,,,,,,,
2008,&,$,x_{19},$,&,47.15,&,$,\tilde{x}_{19},$,&,66.81,&,$,y_{19},$,&,25.09,&,45.55,&,31.46,\\\hline,,,,,,,,,,
2009,&,$,x_{20},$,&,42.33,&,$,\tilde{x}_{20},$,&,62.29,&,$,y_{20},$,&,24.37,&,67.46,&,25.81,\\\hline,,,,,,,,,,
2010,&,$,x_{21},$,&,43.04,&,$,\tilde{x}_{21},$,&,58.61,&,$,y_{21},$,&,23.41,&,43.71,&,21.05,\\\hline,,,,,,,,,,
2011,&,$,x_{22},$,&,42.68,&,$,\tilde{x}_{22},$,&,56.96,&,$,y_{22},$,&,23.86,&,48.45,&,24.35,\\\hline,,,,,,,,,,
2012,&,$,x_{23},$,&,40.8,&,$,\tilde{x}_{23},$,&,54.5,&,$,y_{23},$,&,22.42,&,66.19,&,30.99,\\\hline,,,,,,,,,,
2013,&,$,x_{24},$,&,38.91,&,$,\tilde{x}_{24},$,&,52.05,&,$,y_{24},$,&,21.7,&,33.25,&,23.54,\\\hline,,,,,,,,,,
2014,&,$,x_{25},$,&,37.03,&,$,\tilde{x}_{25},$,&,49.6,&,$,y_{25},$,&,20.67,&,86.89,&,21.1,\\\hline,,,,,,,,,,
2015,&,$,x_{26},$,&,35.51,&,$,\tilde{x}_{26},$,&,45.7,&,$,y_{26},$,&,20.35,&,99.96,&,28.86,\\\hline,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
